movieId,title,storyline,trailerLink,source_trailer,genre,director,starring,releasedYear,runtime,IMDB avg rating,no of users (who rated),views,likes,comments,trailerPublishedAt
23,72 GHONTA,"An old man commits suicide by jumping before a running train. In the next 72 hours, six stories unfold one after another. Curiously interlinked, each story is born out of a chance encounter between two strangers leading to a high voltage drama with a strange twist at the end. The context varies drastically and so does the genre - from psychological thriller to intense drama to hilarious comedy, concerning some dominant issue of contemporary society and human life.",8sF7aa2i7ZQ,Chorki,Drama,Atanu Ghosh,"Soumitra Chatterjee, Abir Chatterjee, Ritwik Chakraborty, Indrani Halder, Ananya Chatterjee, Sudipta Chakraborty, Paran Bandopadhyay, Kharaj Mukherjee, Nina Chakraborty, Ranodeep Bose, Riya Banik, Sudipta Banerjee","25 November, 2021",109 minutes,6.1,36,316347,1031,74,"23 November, 2021"
24,OTITHI,"Through a new born baby, two families want to engage in an unwanted relationship that leads their lives to uncertainty.",EPjvbH2x_-Q,Chorki,Drama,Farhad Shahi,"Manoj Pramanik, Sanjida Preeti, A K Azad Shetu, Sushma Sarker, Abdullah Rana, Jaynal Abedin Khan, Farzana Mukto, Nowshad Akram, KM Kanak, Miraz Bullet","9 September, 2021",36 minutes,7.3,9,20252,747,117,"7 September, 2021"
25,ADHKHANA BHALO CHELE ADHA MOSTAAN,"Adhkhana Bhalo Chele Adha Mostaan is a film that explores the duality of an artist told through chats between the Director and Arnob about life, battling our demons and overcoming them. ",Z21fFs1D38k,Chorki,Musical,Abrar Athar,"Shayan Chowdhury Arnob, Sunidhi Nayak, Pantha Kanai, Buno, Saadul Islam, Imran Ahmed","23 September, 2021",70 minutes,7.9,71,30694,1174,38,"22 September, 2021"
26,NEEL MUKUT,"If Neel (blue) is the colour of pain and crown a symbol of power, then this movie is surely different in that sense. The film has no story at all.",bZIVhdOsjF8,Kamar Ahmad Simon,Drama,Kamar Ahmad Simon,"Shahana Afroz Khan Chowdhury, Monalisa Awal","8 August, 2021",100 minutes,7.7,87,11292,146,10,"27 August, 2021"
27,YOUTUMOR,Tumor? Humor? Poor thing? Or the poison of society? Who are these two 'tumors' that have grown up on social media?, FJm64XVFqhg,Chorki (another trailer is available),Comedy,Adnan Al Rajeev,"Pritom Hasan, Ziaul Hoque Polash, Saraf Ahmed Zibon, Sharif Siraj, Taposh Mridha, Gousul Alam Shaon","22 July, 2021",118 minutes,5.2,513,849541,15372,752,"16 July, 2021"
28,LAL KATAN NIL DAKAT,"Shafiq was on his way to Dharmapur for office work, suddenly some robbers attacked his bus. Then some weird things happen which is beyond imagination.",723lZikxeDI,Chorki,Drama,Vicky Zahed,"Adil Khan, Nasir Uddin Khan, Omar Faruk Nayon, Manoj Kumar Pramanik","12 July, 2021",21 minutes,6.9,118,41125,1175,122,"11 July, 2021"
29,UNISH20,"Apu, a guy who doesn't take any relationship seriously meets a girl named Sheela who has a complete different opinion about life. However, Apu & Sheela become friend and life takes a turn.",n98FihhxYqQ,Chorki,Romantic Drama,Mizanur Rahman Aryan,"Afsana Ara Bindu, Arifin Shuvo","13 February, 2023",112 minutes,7.3,356,461842,9773,573,"6 February, 2023"
30,ANTONAGAR,"Antonagar' is the combination of three lives, complete with their secret, unseen and deep stories.",FCIQuntbdIE,Chorki,Romantic Thiller,Goutam Koiri,"Sabnam Faria, Runa Khan, Shamol Mawla","8 June, 2023",95 minutes,6.7,66,1028820,1441,44,"1 June, 2023"
31,SURONGO,A simple electrician from a village turns to crime and goes to extreme lengths to satisfy his love.,9OuJwweHJ_I,Chorki,Crime Thriller,Raihan Rafi,"Afran Nisho, Toma Mirza, Adib Ahasan Chowdhury, Atikur Rahman Mahi, Nusraat Faria Mazhar","29 June, 2023",150 minutes,6.7,28102,606107,7994,477,"16 July, 2023"
32,PUNORMILONE,"Antu, Riyad, Nayan are three very close cousins. After Riyad's marriage, a relationship develops between Antu and Riyad's wife Trina, and eventually turns into love. This creates a rift in the family. What will end this distance of family?",AqELABnMI-Q,Chorki,Family Drama,Mizanur Rahman Aryan,"Siam Ahmed, Tasnia Farin, Noor Imran Mithu","21 September, 2023",105 minutes,6.2,184,969173,5330,343,"17 September, 2023"
33,SOMETHING LIKE AN AUTOBIOGRAPHY,"Farhan and Titi are a director-actor couple living in Dhaka. In a conservative and patriarchal Muslim society, they are criticized for not having children even after 10 years of marriage.",kgvesg5Qh_0 ,Chorki (final trailer available),Drama,Mostofa Sarwar Farooki,"Mostofa Sarwar Farooki, Nusrat Imrose Tisha","8 October, 2023",82 minutes,7.3,6,593027,1259,72,"5 October, 2023"
34,JAHAN,"Jahan always stays in dilemma between real and unreal due to her post traumatic disorder. Her husband Shihab tries to yield Jahan in normal life by hiding her trauma but keep failing due to the intensity of it. One day suddenly an accident happened. In between Jahan's traumatic imagination and reality, the allegation falls on her where Shihab couldn't save her anymore.",crFC8TocelQ,Chorki,Thriller,Atiq Zaman,"Nazia Haque Orsha, Mostafizur Noor Imran","26 January, 2023",46 minutes,7,13,30561,461,49,"17 January, 2023"
35,KATHBIRALI,"Hasu is a young, innocent village boy. He has none to be called as family in this world. That's why he has made all the villagers his family members. Hasu's life revolve around, love of his life-Kajol and his childhood friend-Anis. When finally Hasu is going to be settled and live happily ever after with Kajol, life takes an unexpected turn and everything falls apart. When Hasu's love and friendship are at stake, what will Hasu do?",m26yJHynlDE,Jaaz Multimedia,Romantic Drama,Niamul Mikta,"Asaduzzaman Abir, Orchita Sporshia, Shilpi Sharkar Apu, Khalid El Bargoni","17 January, 2020",115 minutes,7.5,612,812918,16742,480,"13 January, 2020"
36,BIR,"The story of a self motivated gangstar under a political God Father and a young lady who is the prisoner of the same politician as his paramour, both fall in love and want to escape from their intolerable situation.",qKLbKIeD77g,SK Films,Action Drama,Kazi Hayat,"Shakib Khan, Shabnom Bubly, Nadimul Islam, Sadek Bacchu","14 February, 2020",142 minutes,6.1,1009,4067220,73356,6531,"8 February, 2020"
37,UNOPONCHASH BATASH,"A university student falls in love with a medical sales representative. Things spiral out of control after tragedy strikes, and the student becomes obsessed.",Fg8YXdSp0zc,Red October Films,Romantic Drama,Masud Hasan Ujjal,"Sharlin Farzana, Imtiaz Barshon, Shajid Ahmed","23 October, 2020",147 minutes,6.6,158,217831,6760,427,"22 February, 2020"
38,BISHWOSHUNDORI,"Bishwoshundori is a story about humanity, a story of the triumph of life. The story revolves around Shadhin (Siam Ahmed) and his mother Fatema Ferdousi (Chompa). Because of a disastrous past relationship with X-Miss Bangladesh Ema (Heera), Shadhin has decided not to marry any girl, especially a beautiful girl.",V6RsrnlfWAY,Maasranga TV Official,Romantic Drama,Chayanika Chowdhury,"Siam Ahmed, Pori Moni, Chompa, GM Tonoy","11 December, 2020",136 minutes,4.8,119,2355031,30523,2338,"2 December, 2020"
39,NABAB LLB ,A girl named Shuvra becomes a victim of raping and fights for justice. A so called lawyer named Nabab comes to help her and give her justice. Nawaz must overcome the odds and recapture Juboraj to ensure justice is served.,6nQ-4MtqeRM,iTheatre,Legal Drama,Anonno Mamun,"Shakib Khan, Mahiya Mahi, Lr Khan Shimanto","16 December, 2020",195 minutes,7.4,868,1767817,59033,7187,"7 December, 2020"
40,THE GRAVE,The Grave is a story of a grave digger who has been digging graves for a century.,ST5nwB9xP6U,gor the grave,English Language Drama,Gazi Rakayet,"Dilara Zaman, Sushoma Sarkar, Gazi Rakayet, Ashiul Islam","25 December, 2020",132 minutes,7.2,190,37838,1040,171,"16 December, 2020"
41,ALATCHAKRA :,"In 1971, renowned Bangladeshi writer Ahmed became refugee in Kolkata. He had been to earn his livelihood as a writer. Then he comes to know about his missing fiance named Tayeba admitted in a nearby hospital in the same city.",3kxofBNW6UI,Jaaz Multimedia,Romantic Drama,Habibur Rahman,"Jaya Ahsan, Gazi Mahtab Hassan, Khalid El Borgoni","19 March, 2021",83 minutes,6.2,8,67340,2077,126,"4 March, 2021"
42,SPHULINGO,Based on different aspects of present young generation and young generation during liberation war.,8s0Jgfa3DLM,Tiger Media,Drama,Tauquir Ahmed,"Pori Moni, Rawnak Hasan, Shamol Mawla, Zakia Bari Momo","26 March, 2021",152 minutes,6.8,36,369527,7903,485,"1 March, 2021"
43,TUNGIPARAR MIYA BHAI,"The film 'Tungiparar Miya Bhai' about Bangabandhu Sheikh Mujibur Rahman, the father of the Bengali nation of all time.",RI4shNYmlM0,Shapla Media,Biographical Feature Film,Selim Khan,"Shanto Khan, Dilara Zaman, Prarthona Fardin Dighi, Jayanto Chattopadhyay","2 April, 2021",120 minutes,5.4,79,577958,6759,506,"26 March, 2021"
44,NONAJOLER KABBO,"When a sculptor visits a remote fishing village on the Bangladeshi Delta, he finds himself center stage in a primal, elemental conflict between land and sea, man and nature, past and future.",713TgURUEyM,mypixelstory,Drama,Rezwan Shahriar Sumit,"Fazlur Rahman Babu, Titas Zia, Shatabdi Wadud","26 November, 2021",100 minutes,6.7,200,75024,1314,36,"23 October, 2021"
45,MISSION EXTREME,"After bringing down the man behind the Dhaka Attack, head of bomb disposal unit Abid Rahman learns that an invisible threat hovers over Bangladesh.",dKW-XTerOdw,Cop Creation,Action Thriller,"Sunny Sanwar, Faisal Ahmed","Arifin Shuvoo, Jannatul Ferdous Oishee, Sadia Nabila","3 December, 2021",140 minutes,6.1,1327,1353034,43935,2840,"25 October, 2021"
46,RAAT JAGA PHOOL,A boy from the village was murdered and a dog saw that killer and told Rois about the murderer but Rois could not talk to anybody about the murderer because nobody would care about a madman and country's law will not accept his speech.,3ATZTbhVRxk,Mir Sabbir,Thriller,Mir Sabbir,"Sharmili Ahmed, Rashed Mamun Apu, Naznin Hasan Chumki","31 December, 2021",124 minutes,7.1,181,207079,5869,392,"20 December, 2021"
47,CHIRONJEEB MUJIB,"Chironjeeb Mujib is a biopic about Bangabandhu, the first President of Bangladesh and Father of the Nation. The film is based on a portion of The Unfinished Memoirs, written by Bangabandhu, which states his life from 1949 to 1952. The film shows his struggle during Bengali language movement.",cxS6XgT42Ns,TLT Studios,Biography,Nazrul Islam,"Ahmed Rubel, Purnima, Khairul Alam Sabuj, Dilara Zaman","31 Decmeber, 2021",136 minutes,4.3,21,140546,2972,251,"20 November, 2021"
48,HAWA,Miracles about the life story of fishermen.,uEBEbrDlp-0,Jaaz Multimedia,Mystery Drama,Mejbaur Rahman Sumon,"Chanchal Chowdhury, Nasir Uddin Khan, Nazifa Tushi","29 July, 2022",131 minutes,7.7,6154,3792801,69186,2119,"21 July, 2022"
49,PORAN,"Story of a runaway, triangular love affair unfolds when an undergraduate girl unexpectedly falls in love with a local thug and subsequently meets a fellow student on campus.",YonjB5ZZmKc,Live Tech,Romantic Thriller,Raihan Rafi,"Sariful Razz, Bidya Sinha Saha Mim, Yash Rohan","10 July, 2022",139 minutes,7.3,2105,2951049,44888,2667,"5 July, 2022"
50,MUKHOSH,The story revolves around a writer's writing and psychology. How would the writer feel if his own character came in front of him? Is it possible to measure someone's worth in money? What is the present? What is the truth? Is death the end?,Y_btpUtQm0o,Tiger Media,Mystery Thriller,Efthakhar Suvo,"Mosharraf Karim, Pori Moni, Sujon Ahmed, Kamrul Hossain Mihir",4 March 2022,127 minutes,6.4,219,703597,15555,711,"18 February, 2022"
51,SHAAN,"The story of the film revolves around Shaan, who, after passing the Bangladesh Civil Service examinations, joins the police force to serve the nation. He is an honest and courageous police officer.",CQvR6ezGpPU,Jaaz Multimedia,Action Thriller,M Raahim,"Siam Ahmed, Puja Cherry Roy, Imam Hossain Shaju","3 May, 2022",150 minutes,6.1,464,1968704,68968,4578,"10 December, 2021"
52,BIDROHI,Shurjo betrays the love of his life and gets greedy by joining hands with corrupted politicians. Is he on the wrong path or on a mission?,SV330-uKgWI,Cinebaz,Action Drama,Shahin Sumon,"Shakib Khan, Shabnom Bubly, Misha Sawdagor","3 May, 2022",141 minutes,5.1,22,758272,18076,2117,"6 April, 2022"
53,PRIYOTOMA,"A tragic love story that left an indelible mark on Sumon's life, shattering his world and leaving him forever transformed.", pZH9mTfRy5I ,SK Films (first look),Action Romance,Himel Ashraf,"Shakib Khan, Idhika Paul, Shahiduzzaman Selim","29 June, 2023",155 minutes,5.6,21226,1282165,29000,3967,"17 June, 2023"
54,PAAP PUNNYO,"Khorshed, the president prize winner local chairman, didn't manage to define the thin line between the vice and virtue in his life. As the story progresses, he confronted an undiscovered relationship with his housemaid's son Al-Amin that put him in the middle of the dilemma of what is Paap (Vice) and what is Punyo (Virtue).
",FClKBNDkllo,Channel i Tv,Romantic Drama,Giasuddin Selim,"Siam Ahmed, Chanchal Chowdhury, Farzana Chumki","20 May, 2022",125 minutes,7.1,422,391893,5560,191,"16 May, 2022"
55,OPERATION SUNDARBANS,Bangladesh's first wildlife action thriller film based on RAB's adventures in the Sundarbans. ,GkXzvReG8rE,Operation Sundarban Official,Wildlife Action Thriller,Dipankar Sengupta Dipon,"Riaz, Siam Ahmed, Ziaul Roshan","23 September, 2022",141 minutes,6.9,754,324685,11953,801,"29 July, 2022"
56,MUJIB : THE MAKING OF A NATION,A biopic of Bangabandhu Sheikh Mujibur Rahman.,givLtqsybMo,NFDC India,Biography History,Shyam Benegal,"Arifin Shuvoo, Nusraat Faria Mazhar, Imam Hossain Saju","13 October, 2023",176 minutes,5.6,5873,2673604,80942,12095,"19 May, 2022"
57,BEAUTY CIRCUS,A colourful portrayal of the lives of the performers of a circus show.,Ae9C2ZGluqg,Channel i Tv,Drama,"Mahmud Didar, Sabbir Ahmed Sohag","Jaya Ahsan, Yeanur Shah, Abm Sumon","23 September, 2022",115 minutes,4.3,75,145900,2809,1021,"10 Sepember, 2022"
58,PROHELIKA,"Amid Bangladesh's monsoon, Mona seeks refuge with critical Jamshed and captivating Orpa. Secrets unravel as Detective Sharif investigates in ""Prohelika,"" a tale of unfulfilled desires and uncertain outcomes. Perception shapes their fates.",WLZrs4qtXqc,Jaaz Multimedia,Drama,Chayanika Chowdhury,"Mahfuz Ahmed, Rashed Mamun Apu, Shabnam Bubly","29 June, 2023",138 minutes,6.3,789,349712,4509,306,"27 June, 2023"
59,PUFF DADDY,"Supernaturally gifted fortune teller, Puff Daddy, ascends to stardom after a chance discovery. His powers help Sultan in a crucial election victory. What tragedy awaits Sultan when he is at the peak of success?",XJXBvmoykPU,Moon Movie Club,Drama Thriller,"Mushfiqur Rahman Manzu, Mostofa Sajal, Shahid-Un-Nabi","Pori Mon, Abdun Noor Shajal, Azad Abul Kalam","7 September, 2023",107 minutes,3,142,471775,2336,81,"24 August, 2023"
60,DAMAL,"During the war of liberation, the 'Independent Bangla Football Team' was formed to create public opinion in favor of independence and to create a fund for the freedom fighters.",uDXcDGLelXk,Channel i Tv,Period Drama,Raihan Rafi,"Siam Ahmed, Sariful Razz, Bidya Sinha Saha","28 October, 2022",122 minutes,7.1,752,836958,34706,3640,"16 August, 2022"
61,LEADER: AMIE BANGLADESH,A young man embarked on a transformative journey to rid society of corruption and the misuse of political power.,Fo7BUjpsnDE,Rtv Movies,Action Drama,Topu Khan,"Shakib Khan, Shabnam Bubly, Misha Sawdagor","22 April, 2023",144 minutes,7.8,2368,2308531,38461,3040,"21 April, 2023"
